	en	fr	es
open_website	Open Toolbox	Ouvrir le plugin	Abrir el plugin
open_assistant	Open Assistant	Ouvrir l'assistant	Abrir el assistente
open_assistant_on_page	Assistant for Current Page	Assistant pour cette page	Assistente para este sitio
open_classroom	Open Classroom	Ouvrir la salle de classe	Abrir la aula
video_urls	Videos Urls	Urls de vidéos	Vídeos urls
copy	Copy	Copier	Copiar
no_video_found	No video found	Pas de vidéo	Ningún vídeo
images_url	Images	Images	Imágenes
no_images	No images	Pas d'images	Ningunas imágenes
